web-scraper-order,web-scraper-start-url,Title,Date,Rating,Verified,Review
1587556167-4047,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Prefecto,"Reviewed in the United States on March 7, 2020",5.0 out of 5 stars,Verified Purchase,Can’t complain they are awesome.
1587556167-3855,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Comfortable,"Reviewed in the United States on February 11, 2020",5.0 out of 5 stars,Verified Purchase,Most comfortable shoes especially when exercising
1587556167-3780,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,He loves these shoes!,"Reviewed in the United States on December 14, 2019",5.0 out of 5 stars,Verified Purchase,My guy is in love with these shoes...this brand and this style.  He recently bought and second black and grey pair.  One for work and one for casual wear.
1587556167-4641,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,True fit,"Reviewed in the United States on July 23, 2019",5.0 out of 5 stars,Verified Purchase,Fits true. Comfortable
1587556167-4727,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good shoe!,"Reviewed in the United States on August 18, 2019",5.0 out of 5 stars,null,Comfy
1587556167-3930,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great fit and comfortable,"Reviewed in the United States on January 30, 2020",5.0 out of 5 stars,Verified Purchase,"Great fit. Got a 8.5 wide, usually get a 9 because I can't find wide. Fits perfect.  Comfortable , bought for work, walk 50 miles a week, look nice. Nice price."
1587556167-4172,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great purchase,"Reviewed in the United States on March 21, 2020",5.0 out of 5 stars,Verified Purchase,Comfy. Fits great. Perfect especially for price.
1587556167-4318,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gooood,"Reviewed in the United States on March 25, 2020",5.0 out of 5 stars,Verified Purchase,I like this shoes it’s very comfortable because I have flatfoot and I so happy to order this shoes
1587556167-4250,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Everything is fabulous,"Reviewed in the United States on January 7, 2020",5.0 out of 5 stars,Verified Purchase,Everything is good
1587556167-3987,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great shoes,"Reviewed in the United States on March 4, 2020",4.0 out of 5 stars,Verified Purchase,"Great shoes. Some bits? flecks? of the bright material chunked off during HIIT but the look of the shoe isn’t affected. Super comfy. Great support (flat, narrower than average but not “narrow” foot)."
1587556167-4582,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,True fit,"Reviewed in the United States on March 2, 2020",5.0 out of 5 stars,Verified Purchase,Perfect
1587556167-3888,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Perfect,"Reviewed in the United States on February 9, 2020",5.0 out of 5 stars,Verified Purchase,Bought for my husband he has wide feet and he loves them!
1587556167-4066,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good shoe for the price,"Reviewed in the United States on December 14, 2019",4.0 out of 5 stars,Verified Purchase,Seems a little narrow then the average shoe that I’ve wore in the past.  Good shoe otherwise.
1587556167-4472,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shoes,"Reviewed in the United States on August 7, 2019",5.0 out of 5 stars,Verified Purchase,Like
1587556167-3868,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Too small,"Reviewed in the United States on November 20, 2019",4.0 out of 5 stars,Verified Purchase,"Love the shoe, hate hte sizing.. too small by a full size."
1587556167-3731,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Different sizes between the left and right,"Reviewed in the United States on November 20, 2019",1.0 out of 5 stars,Verified Purchase,"This is the second pair I have bought, but the left shoe feels one size too small and left me with nasty abrasions. The tag on both says ten, but the left one is way too tight. That is what I get for ordering online and not trying them in a store."
1587556167-4698,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazing comfort and fit!!,"Reviewed in the United States on July 18, 2019",5.0 out of 5 stars,null,I never owned under armor shoes before. I should have order three pairs during prime days. These are so comfortable makes me feel like I’m running on air. Very impressed with the fit and comfort.
1587556167-4017,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Finally, a WIDE enough sneaker ..","Reviewed in the United States on January 29, 2020",5.0 out of 5 stars,Verified Purchase,"I will continue to buy Under Armor, we finally found a WIDE enough sneaker that fits my fat feet!  No more busting out of the sides after 10 sporting events...."
1587556167-4126,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Two thumbs up!!,"Reviewed in the United States on August 31, 2019",5.0 out of 5 stars,Verified Purchase,"Love how comfortable they feel, the sole has the perfect amount of give."
1587556167-3706,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,I would definitely buy these shoes every year!,"Reviewed in the United States on February 8, 2020",5.0 out of 5 stars,Verified Purchase,I love these under armour shoes they last for a long time. worth the money. I work in the food and beverage industry and with all the miles that i put on these shoes it last for 13months.
1587556167-4257,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nice shoe. Good value for money,"Reviewed in the United States on January 22, 2020",4.0 out of 5 stars,Verified Purchase,Nice show. Quite comfortable. Nice looking. Worth what it costs.
1587556167-3856,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Price was good,"Reviewed in the United States on April 19, 2020",5.0 out of 5 stars,Verified Purchase,Good quality product and good price. Thumbs up!
1587556167-4613,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Fit,"Reviewed in the United States on February 11, 2020",5.0 out of 5 stars,Verified Purchase,True to size
1587556167-4142,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Great Price,"Reviewed in the United States on September 15, 2019",5.0 out of 5 stars,Verified Purchase,Shoes fit. Feel great
1587556167-3896,https://www.amazon.com/Under-Armour-Charged-Assert-Running/product-reviews/B07G7SM97J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Good sneaker. Comfortable.,"Reviewed in the United States on February 26, 2020",5.0 out of 5 stars,Verified Purchase,True to size. Happy with shoe.
